frequency2,S11_C,S21_C
23.245,-0.02861276,-29.21611326
23.2475,-0.028409985,-29.29448259
23.25,-0.028210077,-29.37263464
23.2525,-0.028012981,-29.45057048
23.255,-0.027818641,-29.52829112
23.2575,-0.027627004,-29.6057976
23.26,-0.027438018,-29.68309093
23.2625,-0.027251632,-29.76017212
23.265,-0.027067797,-29.83704218
23.2675,-0.026886462,-29.91370211
23.27,-0.026707582,-29.99015289
23.2725,-0.02653111,-30.06639551
23.275,-0.026356999,-30.14243095
23.2775,-0.026185207,-30.21826016
23.28,-0.02601569,-30.29388411
23.2825,-0.025848405,-30.36930377
23.285,-0.02568331,-30.44452007
23.2875,-0.025520367,-30.51953395
23.29,-0.025359535,-30.59434636
23.2925,-0.025200775,-30.66895821
23.295,-0.025044051,-30.74337043
23.2975,-0.024889324,-30.81758394
23.3,-0.02473656,-30.89159965
23.3025,-0.024585721,-30.96541844
23.305,-0.024436776,-31.03904123
23.3075,-0.024289688,-31.1124689
23.31,-0.024144426,-31.18570233
23.3125,-0.024000957,-31.25874241
23.315,-0.02385925,-31.33158999
23.3175,-0.023719273,-31.40424595
23.32,-0.023580997,-31.47671115
23.3225,-0.023444392,-31.54898643
23.325,-0.023309429,-31.62107265
23.3275,-0.023176079,-31.69297064
23.33,-0.023044316,-31.76468124
23.3325,-0.022914111,-31.83620529
23.335,-0.022785438,-31.9075436
23.3375,-0.022658272,-31.97869699
23.34,-0.022532587,-32.04966628
23.3425,-0.022408357,-32.12045227
23.345,-0.022285559,-32.19105577
23.3475,-0.022164168,-32.26147756
23.35,-0.022044162,-32.33171845
23.3525,-0.021925517,-32.40177921
23.355,-0.021808211,-32.47166063
23.3575,-0.021692221,-32.54136347
23.36,-0.021577527,-32.61088852
23.3625,-0.021464107,-32.68023653
23.365,-0.02135194,-32.74940827
23.3675,-0.021241007,-32.81840448
23.37,-0.021131287,-32.88722593
23.3725,-0.021022761,-32.95587334
23.375,-0.020915409,-33.02434746
23.3775,-0.020809214,-33.09264903
23.38,-0.020704157,-33.16077877
23.3825,-0.020600219,-33.2287374
23.385,-0.020497383,-33.29652566
23.3875,-0.020395633,-33.36414425
23.39,-0.02029495,-33.43159388
23.3925,-0.020195318,-33.49887526
23.395,-0.020096722,-33.56598908
23.3975,-0.019999145,-33.63293606
23.4,-0.019902571,-33.69971687
23.4025,-0.019806985,-33.76633221
23.405,-0.019712372,-33.83278275
23.4075,-0.019618717,-33.89906918
23.41,-0.019526005,-33.96519217
23.4125,-0.019434223,-34.03115239
23.415,-0.019343356,-34.09695051
23.4175,-0.019253391,-34.16258718
23.42,-0.019164314,-34.22806306
23.4225,-0.019076112,-34.29337881
23.425,-0.018988772,-34.35853508
23.4275,-0.018902281,-34.4235325
23.43,-0.018816627,-34.48837172
23.4325,-0.018731797,-34.55305337
23.435,-0.018647779,-34.61757809
23.4375,-0.018564562,-34.68194651
23.44,-0.018482134,-34.74615924
23.4425,-0.018400483,-34.81021691
23.445,-0.018319598,-34.87412014
23.4475,-0.018239469,-34.93786954
23.45,-0.018160084,-35.00146571
23.4525,-0.018081432,-35.06490926
23.455,-0.018003504,-35.12820079
23.4575,-0.017926288,-35.1913409
23.46,-0.017849776,-35.25433018
23.4625,-0.017773956,-35.31716923
23.465,-0.017698819,-35.37985862
23.4675,-0.017624356,-35.44239895
23.47,-0.017550558,-35.50479078
23.4725,-0.017477414,-35.5670347
23.475,-0.017404915,-35.62913128
23.4775,-0.017333054,-35.69108108
23.48,-0.017261821,-35.75288467
23.4825,-0.017191207,-35.81454261
23.485,-0.017121203,-35.87605547
23.4875,-0.017051803,-35.93742378
23.49,-0.016982996,-35.99864812
23.4925,-0.016914775,-36.05972901
23.495,-0.016847133,-36.12066702
23.4975,-0.016780061,-36.18146267
23.5,-0.016713551,-36.24211651
